"Enabled","Attivato"
"Layout style","Stile Layout"
"Show faces","Mostra facce"
"Width","Larghezza"
"Verb on the button","Verbo da visualizzare"
"Color scheme","Schema Colori"
"Light","Chiaro"
"Dark","Scuro"
"Like","Mi Piace"
"Recommend","Raccomandato"
"Comments box enabled","Box commenti attivato"
"FaceBook Application Id and Key","Id Applicazione"
"FaceBook Application Secret Key","Chiave Applicazione"
"Button Language","Button Language"
"Create application","Crea Applicazione"
"Specifies whether to include a share button beside the Like button.", "Specifies whether to include a share button beside the Like button."
"See the <a href=""https://developers.facebook.com/docs/plugins/like-button/#faqlayout"">Facebook Dev FAQ</a> for more details.", "See the <a href=""https://developers.facebook.com/docs/plugins/like-button/#faqlayout"">Facebook Dev FAQ</a> for more details."
"Specifies whether to display profile photos below the button (standard layout only).", "Specifies whether to display profile photos below the button (standard layout only)."
"The width of the plugin (standard layout only), which is subject to the minimum and default width. See <a href=""https://developers.facebook.com/docs/plugins/like-button/#faqlayout"">Layout Settings at Facebook Dev FAQ</a> for more details.", "The width of the plugin (standard layout only), which is subject to the minimum and default width. See <a href=""https://developers.facebook.com/docs/plugins/like-button/#faqlayout"">Layout Settings at Facebook Dev FAQ</a> for more details."
"The color scheme used by the plugin for any text outside of the button itself.", "The color scheme used by the plugin for any text outside of the button itself."
