"Enabled","Toegestaan"
"Layout style","Layout style"
"Show faces","Laat gezichten zien"
"Width","Breedte"
"Verb on the button","Werkwoord om te laten zien"
"Color scheme","Kleur schema"
"Light","Licht"
"Dark","Donker"
"Like","Like"
"Recommend","Raad aan"
"Comments box enabled","Commentaarvak mogelijk gemaakt"
"FaceBook Application Id and Key","Applicatie id"
"FaceBook Application Secret Key","Applicatie Sleutel"
"Button Language","Button Language"
"Create application","Creëer applicatie"
"Specifies whether to include a share button beside the Like button.", "Specifies whether to include a share button beside the Like button."
"See the <a href=""https://developers.facebook.com/docs/plugins/like-button/#faqlayout"">Facebook Dev FAQ</a> for more details.", "See the <a href=""https://developers.facebook.com/docs/plugins/like-button/#faqlayout"">Facebook Dev FAQ</a> for more details."
"Specifies whether to display profile photos below the button (standard layout only).", "Specifies whether to display profile photos below the button (standard layout only)."
"The width of the plugin (standard layout only), which is subject to the minimum and default width. See <a href=""https://developers.facebook.com/docs/plugins/like-button/#faqlayout"">Layout Settings at Facebook Dev FAQ</a> for more details.", "The width of the plugin (standard layout only), which is subject to the minimum and default width. See <a href=""https://developers.facebook.com/docs/plugins/like-button/#faqlayout"">Layout Settings at Facebook Dev FAQ</a> for more details."
"The color scheme used by the plugin for any text outside of the button itself.", "The color scheme used by the plugin for any text outside of the button itself."
