"Enabled","Habilitado"
"Layout style","Estilo de layout"
"Show faces","Mostrar faces"
"Width","Largura"
"Verb to display","Verbo para exibir"
"Color scheme","Esquema de cor"
"Light","Claro"
"Dark","Escuro"
"Like","Curtir"
"Recommend","Recomendar"
"Comments box enabled","Caixa de comentários habilitada"
"FaceBook Application Id and Key","Id do aplicativo"
"FaceBook Application Secret Key","Chave do aplicativo"
"Button Language","Button Language"
"Create application","Criar aplicativo"
"Specifies whether to include a share button beside the Like button.", "Specifies whether to include a share button beside the Like button."
"See the <a href=""https://developers.facebook.com/docs/plugins/like-button/#faqlayout"">Facebook Dev FAQ</a> for more details.", "See the <a href=""https://developers.facebook.com/docs/plugins/like-button/#faqlayout"">Facebook Dev FAQ</a> for more details."
"Specifies whether to display profile photos below the button (standard layout only).", "Specifies whether to display profile photos below the button (standard layout only)."
"The width of the plugin (standard layout only), which is subject to the minimum and default width. See <a href=""https://developers.facebook.com/docs/plugins/like-button/#faqlayout"">Layout Settings at Facebook Dev FAQ</a> for more details.", "The width of the plugin (standard layout only), which is subject to the minimum and default width. See <a href=""https://developers.facebook.com/docs/plugins/like-button/#faqlayout"">Layout Settings at Facebook Dev FAQ</a> for more details."
"The color scheme used by the plugin for any text outside of the button itself.", "The color scheme used by the plugin for any text outside of the button itself."
